trial,mAP@0.5,state,duration_seconds,imgsz,optimizer,lr0,momentum,weight_decay,warmup_epochs,warmup_momentum,warmup_bias_lr,mosaic,mixup
17,0.5622170624082131,COMPLETE,1694.106754,768,AdamW,0.0005375733382750209,0.9220284993100825,0.0006245610321427977,2,0.8253358856250237,0.020549542524289362,0.9568487765910555,0.18419081572099077
7,0.5606027818022772,COMPLETE,1684.942246,768,Adam,0.0007728716861851782,0.9013049222030259,1.1241862095793047e-05,0,0.5141431335590304,0.06364104112637804,0.6571779905381634,0.10171413823294057
37,0.5586432472304765,COMPLETE,1672.157041,768,Adam,0.0005299480991997462,0.8910324444575807,0.00013259893973744007,1,0.5666023442472398,0.003981033699452843,0.8694090705650911,0.009323764008681987
23,0.5566937623941979,COMPLETE,1274.131817,640,SGD,0.00010923720976574512,0.9087276077173645,0.0003818945195905101,3,0.5914682378765702,0.005708881601387014,0.9502356426031231,0.10142130829413395
40,0.5561320329377647,COMPLETE,1297.463756,640,SGD,0.0003489202891839771,0.8559053049915213,0.000991194711322742,1,0.8714204009107174,0.0076481178071809,0.9650376225502465,0.19702415968347725
6,0.5553024646124811,COMPLETE,1269.953102,640,SGD,0.00012822825454807568,0.8873178786058794,4.4706085467784903e-05,2,0.7869008621098459,0.08872127425763265,0.7361074625809747,0.02391884918766034
38,0.5552333786068102,COMPLETE,1293.654908,640,SGD,0.0005562671827608824,0.9208468793572436,0.0007112882802612956,3,0.6914645211274437,0.0035044865075706784,0.943400436789498,0.19658023796985702
13,0.555043105045364,COMPLETE,1284.287309,640,SGD,0.00015956212481414519,0.9325638910516862,0.0008202218579862699,1,0.9010023745850442,0.021881343928649495,0.8097286598664397,0.15498974702628246
39,0.5548905335656567,COMPLETE,1268.221134,640,SGD,0.00025969974443728553,0.9010564532726025,0.00015395200555927614,0,0.5678979552619839,0.008529487882382562,0.7499675740997609,0.02807877625623379
16,0.5545956639939752,COMPLETE,1307.482661,640,SGD,0.00011832499546588166,0.884174215072047,0.0008783853975174846,2,0.7167381159130815,0.04145292944378984,0.9586224212426746,0.1960881301767174
29,0.5538962140903665,COMPLETE,1274.770657,640,SGD,0.00025947660221022366,0.8549458050763524,0.00027188537082400006,2,0.8277014260079567,0.0017337914021303494,0.7780592853354106,0.16524907961546959
8,0.5470858450892893,COMPLETE,1315.455054,640,Adam,0.00013514082247401428,0.8847701743496521,2.101079931010355e-05,3,0.8636541708039875,0.06334037565104235,0.9357302950938589,0.16073441537982291
4,0.543987769075524,COMPLETE,1282.734339,640,Adam,0.000215262809722153,0.8554272746692645,4.473636174621264e-05,1,0.6221070642982531,0.08287375091519295,0.6783766633467947,0.05618690193747616
3,0.541650867972252,COMPLETE,1294.960685,640,AdamW,0.00027520696850790545,0.9295026741224778,4.201672054372529e-05,2,0.7460196257044758,0.018485445552552705,0.9847923138822793,0.15502656467222292
1,0.5392655211791706,COMPLETE,1290.578327,640,AdamW,0.0005418282319533242,0.8849474968237651,0.00016738085788752134,0,0.6314650918408482,0.03663618432936917,0.728034992108518,0.15703519227860274
5,0.5258322084927844,COMPLETE,1289.251262,640,AdamW,0.0020512599422151364,0.8738458817841006,1.0257563974185649e-05,3,0.8180858047314277,0.07290071680409874,0.8856351733429728,0.014808930346818072
41,0.0,FAIL,539.409501,768,SGD,0.00023610953279924895,0.9334630232585438,0.0003346298991138973,1,0.5409541831782676,0.02284296681450065,0.8966792095706233,0.005637501635348943
